,Unnamed: 0,drama,action,adventure,animation,crime,fantasy,music,musical,mystery,romance,science fiction,sport,thriller,war,western,family film
15001,18562,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15002,18564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15003,18565,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15004,18566,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15005,18567,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15006,18568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15007,18570,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15008,18571,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15009,18572,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15010,18573,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15011,18574,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15012,18575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15013,18576,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
15014,18578,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15015,18579,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
15016,18580,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15017,18581,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15018,18582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15019,18583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15020,18584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15021,18586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15022,18587,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15023,18588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15024,18589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15025,18590,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15026,18591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15027,18592,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
15028,18593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15029,18594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15030,18595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15031,18596,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15032,18597,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15033,18598,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15034,18599,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15035,18600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15036,18601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15037,18603,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
15038,18604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15039,18605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15040,18607,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
15041,18609,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15042,18610,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
15043,18611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15044,18612,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
15045,18613,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15046,18614,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
15047,18615,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15048,18616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
15049,18617,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15050,18618,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
15051,18619,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15052,18620,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15053,18621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15054,18623,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15055,18624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15056,18625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15057,18626,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15058,18627,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15059,18628,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
